"CreditMemo No","Invoice Number","Return Date","Seller Sku","Product Name"
"R-AZ-00124-2019-EU","AZ-00827-2019-EU","2019-01-19 05:13:50","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
"R-AZ-00125-2019-EU","AZ-08551-2018-EU","2019-01-20 04:33:33","WD10JPCX","Western Digital wd10jpcx-24ue4t0 1 TB DCM: hbktjbk"
"R-AZ-00126-2019-EU","AZ-07374-2018-EU","2019-01-20 22:17:40","EFC-1H8SPECSTD","Samsung Book - Funda Galaxy Tab II, rosa"
"R-AZ-00127-2019-EU","AZ-00095-2019-EU","2019-01-21 01:39:50","KVR16LS11/4GB","Kingston KVR16LS11/4 Arbeitsspeicher 4GB (DDR3L Non-ECC CL11 SODIMM 1,35V, 204-pin 1,5V)"
"R-AZ-00128-2019-EU","AZ-00493-2019-EU","2019-01-21 02:26:23","HMT351S6EFR8C-PB","4GB Hynix HMT351S6EFR8C-BP 204pin DDR3 RAM SO-DIMM, 1600Mhz, PC3-12800S, NEUW."
"R-AZ-00129-2019-EU","AZ-00710-2019-EU","2019-01-21 03:05:03","WD5000AAKX","Western Digital WD5000AAKX Blue 500GB interne Festplatte (8,9 cm (3,5 Zoll), 7200rpm, SATA 6 Gb/s, 16MB Cache)"
"R-AZ-00130-2019-EU","AZ-00647-2019-EU","2019-01-21 04:27:23","M470T5663QZ3_CF7","Samsung original SO-DDR2 2 GB 200 pin DDR2-800 (PC2-6400) 128Mx 8 x 16 doble (M470T5663QZ3 - CF7)"
"R-AZ-00131-2019-EU","AZ-00534-2019-EU","2019-01-21 06:02:06","KVR800D2S5-2G","Kingston ValueRAM KVR800D2S5/2G - Memoria RAM DDR2 PC2-6400 2 GB (800 MHz, CL5, 200-pin)"
"R-AZ-00132-2019-EU","AZ-07846-2018-EU","2019-01-21 06:07:19","M8-FAVN-34Q4","Nanya 4 GB (1 x 4 GB) DDR3 1333 MHz (PC3 10600S portátil) So DIMM Memoria RAM Memory"
"R-AZ-00133-2019-EU","AZ-00474-2019-EU","2019-01-21 06:43:27","KVR13S9S6-2G","Kingston KVR13S9S6/2 Memoria RAM da 2 GB, 1333 MHz, DDR3, Non-ECC CL9 SODIMM, 204-pin, 1.5 V"
"R-AZ-00134-2019-EU","AZ-00555-2019-EU","2019-01-21 06:59:34","ST3500312CS","Seagate ST3500312CS HDD, 500GB, Nero"
"R-AZ-00135-2019-EU","AZ-05090-2018-EU","2019-01-21 08:27:21","ST500DM002","Seagate Barracuda ST500DM002 500 GB Interna"
"R-AZ-00136-2019-EU","AZ-00285-2019-EU","2019-01-21 16:07:36","ST3500312CS","Seagate Pipeline HD ST3500312CS Interne Festplatte 500GB (8,9 cm (3,5 Zoll), 5900 rpm, SATA 3GB/s, 8MB Cache) bulk"
"R-AZ-00137-2019-EU","AZ-00979-2019-EU","2019-01-21 17:51:24","ST3500312CS","Seagate ST3500312CS HDD, 500GB, Nero"
"R-AZ-00138-2019-EU","AZ-08189-2018-EU","2019-01-21 18:53:09","KVR667D2N5","Kingston KVR667D2N5/2G RAM 2Go 667MHz DDR2 Non-ECC CL5 DIMM, 240-pin"
"R-AZ-00139-2019-EU","AZ-00168-2019-EU","2019-01-21 19:09:19","EF-BP520BAEGWW","Samsung EFBP520 Etui à rabat pour Samsung Galaxy Tab 3 10,1'' Marron"
"R-AZ-00140-2019-EU","AZ-01012-2019-EU","2019-01-22 01:21:59","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
"R-AZ-00141-2019-EU","AZ-00526-2019-EU","2019-01-22 02:00:58","GEN_HDD_500_2.5","Disco duro interno de 500 GB para ordenadores portátiles, PS3 y Mac (2,5&quot;, SATA, 5400 RPM)"
"R-AZ-00142-2019-EU","AZ-03793-2018-EU","2019-01-22 02:08:40","MASTERBOX5_MSI","Cooler Master MasterBox 5 MSI Gaming Edition Case per PC 'ATX, microATX, Mini-ITX, USB 3.0, con Finestra Laterale' MCX-B5S2-KWNN-03-MI"
"R-AZ-00143-2019-EU","AZ-00167-2019-EU","2019-01-22 03:17:45","HTS541010A9E680","Hitachi HTS541010A9E680 HDD 2,5&quot;, 1 TB, Nero"
"R-AZ-00144-2019-EU","AZ-00644-2019-EU","2019-01-22 04:09:02","KVR800D2S5-2G","Kingston ValueRAM KVR800D2S5/2G - Memoria RAM DDR2 PC2-6400 2 GB (800 MHz, CL5, 200-pin)"
"R-AZ-00145-2019-EU","AZ-05939-2018-EU","2019-01-22 05:52:28","Gen_sodimm_2gb","Samsung - 2GB (1x 2GB) DDR2 667MHz (PC2 5300S) RAM Memory"
"R-AZ-00146-2019-EU","AZ-08180-2018-EU","2019-01-22 07:43:42","CT2C2G3S1067MCEU","Crucial CT2K2G3S1067M Kit Memoria da 4 GB da Mac (2 GBx2) DDR3, 1066 MT/s, PC3-8500, SODIMM, 204-Pin [Vecchio Modello]"
"R-AZ-00147-2019-EU","AZ-08112-2018-EU","2019-01-22 08:17:38","B9-O7UZ-HR7U","Cooler Master MasterWatt Lite 400 230V Alimentatore  'Non-Modulare, 80 Plus White, 400W' MPX-4001-ACABW-EU"
"R-AZ-00148-2019-EU","AZ-08503-2018-EU","2019-01-22 09:02:53","TW-UGS5-28P4","ICT 'Box Multimédia pour hardisk 3.5 SATA Player et Recorder"
"R-AZ-00149-2019-EU","AZ-00229-2019-EU","2019-01-22 09:03:00","GE-2JQI-6AUE","2 GB (1 x 2 Gb) DDR3 1333 MHz (PC3 10600S) So DIMM notebook laptop memoria RAM Hynix micron Elpida"
"R-AZ-00150-2019-EU","AZ-07586-2018-EU","2019-01-22 13:31:39","OD-HKHP-CBF6","Samsung, Hynix Nanya Elpida, Memoria RAM da 4GB (1 x 4 GB) DDR3, 1.600 MHz (PC3 12800S) SO Dimm, per portatile/notebook"
"R-AZ-00151-2019-EU","AZ-06776-2018-EU","2019-01-22 16:37:45","WS-1OG6-8H52","Cooler Master MasterWatt Lite 700 230V Alimentatore  'Non-Modulare, 80 Plus White, 700W' MPX-7001-ACABW-EU"
"R-AZ-00152-2019-EU","AZ-00473-2019-EU","2019-01-22 19:44:52","M378B5273DH0-CK0","Samsung 4GB DDR3 1600MHz 4Go DDR3 1600MHz module de mémoire - Modules de mémoire (4 Go, 1 x 4 Go, DDR3, 1600 MHz, 240-pin DIMM, Vert)"
"R-AZ-00153-2019-EU","AZ-00460-2019-EU","2019-01-22 19:46:48","7C-0NN3-SSNL","Philips Glühbirne Softone 8727900905243 5 W E27 B-Saving Lamp"
"R-AZ-00154-2019-EU","AZ-08150-2018-EU","2019-01-22 22:42:54","50-E2SP-Q2J4","Philips Softone 8YR 5W E27 Mini 827 (Warmweiß, 2700K)"
"R-AZ-00155-2019-EU","AZ-08355-2018-EU","2019-01-23 01:59:50","MQ01ABD100","Toshiba -MQ01ABD100- Disque dur interne 2,5'' 1000 Go SATA II"
"R-AZ-00156-2019-EU","AZ-00472-2019-EU","2019-01-23 04:27:18","KVR13S9S6-2G","Kingston KVR13S9S6/2 RAM 2Go 1333MHz DDR3 Non-ECC CL9 SODIMM 204-pin, 1.5V"
"R-AZ-00157-2019-EU","AZ-00368-2019-EU","2019-01-23 05:53:45","QO-RN20-M4XY","Cooler Master MasterWatt 750 EU Alimentatore 'Semi-Fanless Modular, 80 Plus Bronze, 750W' MPX-7501-AMAAB-EU"
"R-AZ-00158-2019-EU","AZ-08482-2018-EU","2019-01-23 07:56:00","NJ-HPAB-I799","Samsung - Memoria RAM da 4GB (1 x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm per PC portatile"
"R-AZ-00159-2019-EU","AZ-00386-2019-EU","2019-01-23 15:11:42","6I-X7UV-3JIT","Cooler Master MasterAir MA610P RGB Ventola per CPU '6 Heatpipes, 2 x MasterFan AB 120 RGB Ventola, LED RGB' MAP-T6PN-218PC-R1"
"R-AZ-00160-2019-EU","AZ-00441-2019-EU","2019-01-23 17:24:12","GE-2JQI-6AUE","Hynix Micron Elpida PC3 10600S Mémoire RAM DDR3 SO Dimm 2 Go 1333 MHz"
"R-AZ-00161-2019-EU","AZ-00531-2019-EU","2019-01-23 18:24:30","KVR667D2S5-2G","Kingston KVR667D2S5/2G RAM 2Go 667MHz DDR2 Non-ECC CL5 SODIMM, 200-pin, 1.8V"
"R-AZ-00162-2019-EU","AZ-00646-2019-EU","2019-01-24 03:03:22","ZN-7T1Y-XT2V","Western Digital WD5000BEVT Scorpio Blue - Disco duro interno de 500 GB (5400 rpm, 6,4 cm (2,5 pulgadas), caché de 8 MB, SATA)"
"R-AZ-00163-2019-EU","AZ-08409-2018-EU","2019-01-24 03:06:05","M8-FAVN-34Q4","Nanya Hynix Elpida Micron Samsung 4GB (1x 4GB) DDR3 1333MHz (PC3 10600S) SO Dimm Notebook Laptop Arbeitsspeicher RAM Memory"
"R-AZ-00164-2019-EU","AZ-00691-2019-EU","2019-01-24 04:24:36","MFY-RCSN-NNUDK-R1","Cooler Master MasterAccessory RGB Fan Controller Accessorio per Case per PC '16.7 milioni di colori, 4 Canali Output, Controllo Frequenza' MFY-RCSN-NN"
"R-AZ-00165-2019-EU","AZ-00081-2019-EU","2019-01-24 05:44:40","ST3500312CS","Seagate ST3500312CS Pipeline Disque dur interne 3,5&quot; SATA II 5900 tours/min 500 Go"
"R-AZ-00166-2019-EU","AZ-01113-2019-EU","2019-01-24 09:40:24","WJ-IDD5-E63Q","Matrox P690 Passiv Grafikkarte (PCI, 128MB DDR2 Speicher, Dual  DVI &amp; VGA, 1 GPU)"
"R-AZ-00167-2019-EU","AZ-00195-2019-EU","2019-01-24 09:56:36","M8-FAVN-34Q4","Nanya Hynix Elpida Micron Samsung 4GB (1x 4GB) DDR3 1333MHz (PC3 10600S) SO Dimm Notebook Laptop Arbeitsspeicher RAM Memory"
"R-AZ-00168-2019-EU","AZ-00764-2019-EU","2019-01-24 10:07:48","SGK-6020-KKCM1-IT","Cooler Master Masterkeys PRO L RGB SGK-6020-KKCM1-IT Tastiera"
"R-AZ-00169-2019-EU","AZ-06431-2018-EU","2019-01-24 12:30:18","QO-RN20-M4XY","Cooler Master MasterWatt 750 EU Alimentatore 'Semi-Fanless Modular, 80 Plus Bronze, 750W' MPX-7501-AMAAB-EU"
"R-AZ-00170-2019-EU","AZ-05424-2018-EU","2019-01-24 13:19:57","ST3500312CS","Seagate Pipeline HD ST3500312CS Interne Festplatte 500GB (8,9 cm (3,5 Zoll), 5900 rpm, SATA 3GB/s, 8MB Cache) bulk"
"R-AZ-00171-2019-EU","AZ-00443-2019-EU","2019-01-24 16:04:46","KVR16N11H-8G","Kingston KVR16N11H/8 Memoria RAM da 8 GB, DDR3, 1600 MHz, Verde"
"R-AZ-00172-2019-EU","AZ-05723-2018-EU","2019-01-24 20:11:37","Gen_sodimm_2gb","Samsung - 2GB (1x 2GB) DDR2 667MHz (PC2 5300S) RAM Memory"
"R-AZ-00173-2019-EU","AZ-08494-2018-EU","2019-01-24 21:50:35","KVR800D2S6-2G","Kingston KVR800D2S6/2G RAM 2Go 800MHz DDR2 Non-ECC CL6 SODIMM, 200-pin, 1.8V"
"R-AZ-00174-2019-EU","AZ-00515-2019-EU","2019-01-24 21:59:00","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
"R-AZ-00175-2019-EU","AZ-08517-2018-EU","2019-01-25 07:42:12","920-006407","Logitech Type-S Custodia con Tastiera per Samsung Galaxy Tab S"
"R-AZ-00176-2019-EU","AZ-00877-2019-EU","2019-01-25 12:29:39","920-005809","Logitech Ultrathin Keyboard Cover Tab 3 Cover con Tastiera per Tablet/PDA/eBook Reader"
"R-AZ-00177-2019-EU","AZ-00227-2019-EU","2019-01-25 13:29:11","N5-W34Y-7EJL","Cooler Master Masterpulse Bianco con Bass FX Over-Ear Gaming Headset"
"R-AZ-00178-2019-EU","AZ-01143-2019-EU","2019-01-26 07:22:51","ST500DM002","Seagate Desktop HDD  500 GB; interne Festplatte; 3.5&quot;, SATA; 6GB/s, 16 MB Cache - ST500DM002"
"R-AZ-00179-2019-EU","AZ-01022-2019-EU","2019-01-28 07:54:17","KVR1333D3S9/2G","Kingston KVR1333D3S9/2G - Memoria RAM 2 GB PC1333 (DDR3)"
"R-AZ-00180-2019-EU","AZ-01149-2019-EU","2019-01-28 08:35:49","OM-LCVH-I3WQ","Philips Master LEDspot MV GU10 8 W Warm White - LED Lamp (Warm White, Grey, a, 50 - 60, 40 ma, 220 - 240)"
"R-AZ-00181-2019-EU","AZ-00852-2019-EU","2019-01-28 13:35:20","Generico-500gb","'DCL Value Disque Dur Interne de 500Go (SATA, 3,5)"
"R-AZ-00182-2019-EU","AZ-00974-2019-EU","2019-01-28 15:18:06","ST9500420AS","Seagate ST9500420AS Momentus 7200.4 HardDisk"
"R-AZ-00183-2019-EU","AZ-00709-2019-EU","2019-01-28 18:29:09","LV-SQIC-TJSP","Cooler Master V850 Alimentatore  'Modulare, 80 Plus Gold, 850W' RS850-AFBAG1-EU"
"R-AZ-00184-2019-EU","AZ-00093-2019-EU","2019-01-28 19:10:08","M8-FAVN-34Q4","Nanya 4Go (1 x 4Go) dDR3 (pC3 10600S 1333MHz sO-dimm rAM pour ordinateur portable memory"
"R-AZ-00185-2019-EU","AZ-01192-2019-EU","2019-01-29 01:23:41","MN-KUAJ-WFDI","Cooler Master V1200 Alimentatore  'Modulare, 80 Plus Platinum, 1200W' RSC00-AFBAG1-EU"
"R-AZ-00186-2019-EU","AZ-00166-2019-EU","2019-01-29 01:42:38","MSTERNOTEPALPRO","Cooler Master MasterNotepal Pro Notebook-Kühler '2x einstellbare 80mm Lüfter, USB Hub, Kompatibel mit bis zu 17 Zoll Laptops' MNY-SMTS-20FY-R1"
"R-AZ-00187-2019-EU","AZ-06346-2018-EU","2019-01-29 04:32:14","N5-W34Y-7EJL","Cooler Master Masterpulse Bianco con Bass FX Over-Ear Gaming Headset"
"R-AZ-00188-2019-EU","AZ-00406-2019-EU","2019-01-29 13:31:40","6I-X7UV-3JIT","Cooler Master MasterAir MA610P CPU Air Cooler '6 Heat Pipes, RGB Controller, 2x 120mm RGB Fans' MAP-T6PN-218PC-R1"
"R-AZ-00189-2019-EU","AZ-07425-2018-EU","2019-01-29 15:11:13","MK6476GSX","Toshiba MK1676GSX - 160 GB interne Festplatte (5400 RPM, SATA, 2,5 Zoll) 640GB Schwarz"
"R-AZ-00190-2019-EU","AZ-01189-2019-EU","2019-01-29 15:25:28","WD10EACS","Western Digital WD10EACS-KIT 1 TB 8,9 cm (3,5 Zoll) Festplatte intern SATA II Caviar Green Power"
"R-AZ-00191-2019-EU","AZ-08082-2018-EU","2019-01-29 15:41:37","6G-5UKX-IA09","Toshiba MK3276GSX 320GB interne Festplatte (6,3 cm (2,5 Zoll), 5400rpm, 8MB Cache, SATA)"
"R-AZ-00192-2019-EU","AZ-00010-2019-EU","2019-01-29 21:36:17","KVR667D2S5-2G","Kingston KVR667D2S5/2G RAM 2Go 667MHz DDR2 Non-ECC CL5 SODIMM, 200-pin, 1.8V"
"R-AZ-00193-2019-EU","AZ-01101-2019-EU","2019-01-30 04:53:06","ST95005620AS","Seagate ST95005620AS Momentus XT SATA SSHD 500 GB"
"R-AZ-00194-2019-EU","AZ-01147-2019-EU","2019-01-30 05:50:09","WD5000AAKX","Western Digital WD5000AAKX Blue 500GB interne Festplatte (8,9 cm (3,5 Zoll), 7200rpm, SATA 6 Gb/s, 16MB Cache)"
"R-AZ-00195-2019-EU","AZ-01370-2019-EU","2019-01-30 09:48:59","ST3500312CS","Seagate Pipeline HD ST3500312CS Interne Festplatte 500GB (8,9 cm (3,5 Zoll), 5900 rpm, SATA 3GB/s, 8MB Cache) bulk"
"R-AZ-00196-2019-EU","AZ-04519-2018-EU","2019-01-30 14:43:33","WD5000AAKX","WD WD5000AAKX Blu Hard Disk Desktop da 500 GB, 7200 RPM, SATA 6 GB/s, 16 MB Cache, 3.5 &quot;"
"R-AZ-00197-2019-EU","AZ-01328-2019-EU","2019-01-30 14:47:28","ST3500312CS","Seagate ST3500312CS HDD, 500GB, Nero"
"R-AZ-00198-2019-EU","AZ-00581-2019-EU","2019-01-30 15:24:52","STM3500320AS","Maxtor - Seagate STM3500320AS, Hard-Disk interno da 500GB, 8,9 cm (3,5&quot;), SATA, 7200 rpm, 32MB Cache"
"R-AZ-00199-2019-EU","AZ-00218-2019-EU","2019-01-30 15:40:46","LX-07S5-DJYO","Cooler Master Devastator III Tastiera a Membrana e Mouse, Retro-Illuminazione LED 7 Colori"
"R-AZ-00200-2019-EU","AZ-00430-2019-EU","2019-01-30 15:50:48","ST500DM002","Seagate Barracuda 3.5 inch 500GB 7200 RPM 16MB 6GB/S Internal SATA Drive"
"R-AZ-00201-2019-EU","AZ-01066-2019-EU","2019-01-30 17:17:28","SGB-3050-KKMF1-IT","CM Storm Bundle Gaming MasterSet MS120Combo with RGB - membrane Keyboard + Mouse"
"R-AZ-00202-2019-EU","AZ-01418-2019-EU","2019-01-30 17:20:50","GE-2JQI-6AUE","Hynix - Memoria RAM DDR3 SO-DIMM (PC3 10600S,1 x 2 GB, 1333 MHz, Hynix, Micron o Elpida)"
"R-AZ-00203-2019-EU","AZ-01132-2019-EU","2019-01-30 18:02:43","I9-7U9K-4OPW","ASRock FM2A68M-DG3+ Carte mère AMD Micro ATX Socket FM2+"
"R-AZ-00204-2019-EU","AZ-01428-2019-EU","2019-01-30 19:22:56","WD5000AAKX","WD Blue Disque dur interne (Bulk) Desktop Mainstream 500 Go 3,5 pouces SATA 7200 RPM"
"R-AZ-00205-2019-EU","AZ-00357-2019-EU","2019-01-30 21:02:56","NJ-HPAB-I799","Samsung 4GB (1x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm Notebook Laptop Arbeitsspeicher RAM Memory"
"R-AZ-00206-2019-EU","AZ-00700-2019-EU","2019-01-31 02:27:54","WD5000AAKX","Western Digital WD5000AAKX Blue 500GB interne Festplatte (8,9 cm (3,5 Zoll), 7200rpm, SATA 6 Gb/s, 16MB Cache)"
"R-AZ-00207-2019-EU","AZ-05157-2018-EU","2019-01-31 04:57:36","ST500DM002","Seagate ST500DM002 Barracuda Disque dur interne 3,5&quot; SATA III 7200 tours / min 500 Go"
"R-AZ-00208-2019-EU","AZ-07428-2018-EU","2019-01-31 06:24:54","KVR1333D3S9/2G","Kingston Memoria RAM, 1333 MHz, DDR3, Non-ECC CL9 SODIMM, 204-pin, 1.5 V, 2 GB"
"R-AZ-00209-2019-EU","AZ-08191-2018-EU","2019-01-31 19:33:53","10-KO5C-JEVD","WD WD5000LPVX Blu Hard Disk Mobile da 500 GB, 5400 RPM, SATA 6 GB/s, 2.5 &quot;, 7.0 mm"
